===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/5/24 8:03,,,2160,1295,0.6,0,0,393,191,426,,,,,,,,
2/5/24 8:20,,,4260,3391,0.796,0,0,3280,1786,1810,,,,,,,,
2/5/24 8:37,,,3941,3276,0.831,0.06,0,2920,1423,1563,,,,,,,,
2/5/24 8:54,,,3502,3054,0.872,0.03,0,2476,1100,1468,,,,,,,,
2/5/24 9:11,,,3201,2915,0.911,0.13,0.076,1858,780,729,,,,,,,,
2/5/24 9:27,,,3360,3063,0.912,0,0.019,1855,745,663,,,,,,,,
2/5/24 9:44,,,3295,2819,0.856,0,0,1558,331,189,,,,,,,,
2/5/24 10:01,,,2394,2185,0.913,0.08,0,982,320,295,,,,,,,,
2/5/24 10:18,,,2457,2369,0.964,0.08,0.038,1041,227,214,,,,,,,,
2/5/24 10:35,,,2789,2527,0.906,0.09,0,1117,57,9,,,,,,,,
2/5/24 10:52,,,3174,2960,0.933,0,0.076,1842,569,434,,,,,,,,
2/5/24 11:09,,,2221,2039,0.918,0,0,1225,51,8,,,,,,,,
2/5/24 11:26,,,3128,2955,0.945,0.07,0,1758,579,579,,,,,,,,
2/5/24 11:42,,,2023,1854,0.917,0,0,616,71,0,,,,,,,,
2/5/24 11:59,,,3182,3023,0.95,0.12,0,1838,537,331,,,,,,,,
2/5/24 12:16,,,2296,2176,0.948,0,0,1074,35,0,,,,,,,,
2/5/24 12:33,,,2958,2745,0.928,0.16,0.019,1405,156,56,,,,,,,,
2/5/24 12:50,,,2379,2207,0.928,0,0,1221,65,378,,,,,,,,
2/5/24 13:07,,,2568,2402,0.935,0.04,0.038,1118,93,215,,,,,,,,
2/5/24 13:24,,,2281,2218,0.972,0.02,0.019,1357,180,28,,,,,,,,
2/5/24 13:41,,,2498,2363,0.946,0,0,1098,51,27,,,,,,,,
2/5/24 13:57,,,2537,2369,0.934,0.04,0,1050,70,8,,,,,,,,
2/5/24 14:14,,,3394,3229,0.951,0,0.057,1942,473,293,,,,,,,,
2/5/24 14:31,,,2973,2669,0.898,0.11,0,1540,259,55,,,,,,,,
2/5/24 14:48,,,2690,2406,0.894,0,0.057,1470,186,20,,,,,,,,
2/5/24 15:05,OFF1,1,2881,2724,0.946,0,0.057,1124,62,1,,,,,,,,
2/5/24 15:22,OFF1,2,2917,2737,0.938,0.09,0,860,217,77,,,,,,,,
2/5/24 15:39,OFF1,3,3438,3386,0.985,0.17,0.095,1509,246,37,,,,,,,,
