===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/5/24 8:02,,,1963,398,0.203,0,0,483,304,326,,,,,,,,
2/5/24 8:19,,,3898,2541,0.652,0,0,3803,2370,1540,,,,,,,,
2/5/24 8:36,,,2455,2069,0.843,0,0,3256,2049,1837,,,,,,,,
2/5/24 8:53,,,2994,2589,0.865,0,0,2739,1737,1684,,,,,,,,
2/5/24 9:09,,,2870,2229,0.777,0,0,2519,1498,1180,,,,,,,,
2/5/24 9:26,,,1991,1421,0.714,0.12,0,1733,894,1330,,,,,,,,
2/5/24 9:43,,,1706,1247,0.731,0,0,1075,563,1220,,,,,,,,
2/5/24 10:00,,,1432,902,0.63,0,0,616,310,1193,,,,,,,,
2/5/24 10:17,,,2665,2554,0.958,0.06,0,2294,1362,1357,,,,,,,,
2/5/24 10:34,,,1990,1525,0.767,0,0.02,1715,879,1281,,,,,,,,
2/5/24 10:51,,,1365,994,0.729,0,0,672,355,1209,,,,,,,,
2/5/24 11:08,,,1302,1166,0.895,0.05,0,593,267,1193,,,,,,,,
2/5/24 11:24,,,1533,1176,0.767,0.03,0,429,148,1156,,,,,,,,
2/5/24 11:41,,,1393,927,0.666,0,0,254,36,1197,,,,,,,,
2/5/24 11:58,,,1530,1105,0.722,0.09,0,743,394,1307,,,,,,,,
2/5/24 12:15,,,1874,1556,0.83,0.02,0.04,1499,666,1160,,,,,,,,
2/5/24 12:32,,,1454,1067,0.734,0,0,328,24,1246,,,,,,,,
2/5/24 12:49,,,1238,940,0.759,0,0.02,165,8,1234,,,,,,,,
2/5/24 13:06,,,1844,1426,0.774,0.16,0.02,1132,526,1307,,,,,,,,
2/5/24 13:23,,,1558,1284,0.824,0,0,665,225,1240,,,,,,,,
2/5/24 13:39,,,1437,1063,0.74,0,0,195,16,1171,,,,,,,,
2/5/24 13:56,,,1494,1033,0.692,0.12,0,248,58,1243,,,,,,,,
2/5/24 14:13,,,1975,1565,0.792,0.09,0.06,1075,519,1203,,,,,,,,
2/5/24 14:30,,,1570,1295,0.825,0,0,744,323,1222,,,,,,,,
2/5/24 14:47,,,1728,1367,0.791,0,0,439,98,1234,,,,,,,,
2/5/24 15:04,OFF1,1,1241,947,0.763,0.03,0.06,927,481,1037,,,,,,,,
2/5/24 15:21,OFF1,2,2097,1857,0.886,0.11,0,1170,461,1238,,,,,,,,
2/5/24 15:38,OFF1,3,1734,1320,0.762,0,0,348,47,1201,,,,,,,,
