===============,,,===============,===============,===============,===============,===============,===============,===============,===============
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS
===============,,,===============,===============,===============,===============,===============,===============,===============,===============
2/5/24 8:11,,,3452,2782,0.806,0,0,1012,414,87
2/5/24 8:28,,,4280,3686,0.861,0,0,3874,1417,583
2/5/24 8:45,,,4005,3368,0.841,0,0,3371,1209,547
2/5/24 9:02,,,3960,3248,0.82,0,0,3412,1140,1222
2/5/24 9:18,,,3879,3286,0.847,0,0,2462,969,753
2/5/24 9:35,,,3929,3326,0.847,0,0,2843,923,325
2/5/24 9:52,,,3812,3121,0.819,0,0,2184,569,475
2/5/24 10:09,,,3714,3110,0.837,0,0,1802,658,429
2/5/24 10:26,,,3693,3000,0.812,0,0,833,342,122
2/5/24 10:43,,,3446,2871,0.833,0,0,2723,904,503
2/5/24 11:00,,,3500,3172,0.906,0,0.063,2277,620,290
2/5/24 11:17,,,3274,2924,0.893,0,0.042,1576,395,321
2/5/24 11:33,,,3551,3248,0.915,0,0.021,1671,417,133
2/5/24 11:50,,,3242,2649,0.817,0,0,1591,238,93
2/5/24 12:07,,,3325,2901,0.872,0.01,0.021,1903,376,166
2/5/24 12:24,,,3076,2738,0.89,0.03,0,1058,14,0
2/5/24 12:41,,,2842,2606,0.917,0.03,0,1015,15,0
2/5/24 12:58,,,2649,2337,0.882,0.03,0,965,0,0
2/5/24 13:15,,,2775,2380,0.858,0.03,0,997,6,0
2/5/24 13:32,,,3612,3220,0.892,0,0.021,1524,385,180
2/5/24 13:48,,,3612,3317,0.918,0,0.042,1373,238,52
2/5/24 14:05,,,3601,3272,0.908,0,0,1383,175,11
2/5/24 14:22,,,2739,2372,0.866,0.03,0,996,18,5
2/5/24 14:39,,,2745,2307,0.84,0.06,0,977,0,0
2/5/24 14:56,,,3649,3313,0.908,0,0,1888,512,14
2/5/24 15:13,OFF1,1,2644,2427,0.918,0,0,1631,114,31
2/5/24 15:30,OFF1,2,3598,3307,0.919,0.16,0,1287,92,27
2/5/24 15:47,OFF1,3,3937,3703,0.941,0,0,1496,514,7
2/5/24 16:03,OFF1,4,4660,4144,0.889,0,0.084,2128,611,258
2/5/24 16:20,OFF1,5,4044,3317,0.82,0,0.063,2975,941,937
2/5/24 16:37,OFF1,6,3799,3550,0.934,0,0,2900,975,623
2/5/24 16:54,OFF1,7,3855,3666,0.951,0,0.042,3055,1052,681
2/5/24 17:11,OFF1,8,3985,3739,0.938,0,0.042,2389,785,454
2/5/24 17:28,OFF1,9,3707,3579,0.966,0,0,2329,719,455
2/5/24 17:45,OFF1,10,3391,3216,0.948,0,0.126,2188,549,371
