===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/5/24 8:05,,,3155,1943,0.616,0,0,496,289,104,,,,,,,,
2/5/24 8:22,,,5368,4219,0.786,0,0,2731,1463,1127,,,,,,,,
2/5/24 8:39,,,5125,4124,0.805,0.03,0,2337,1266,1144,,,,,,,,
2/5/24 8:56,,,4633,3764,0.812,0.08,0,2456,1248,1327,,,,,,,,
2/5/24 9:13,,,4615,4220,0.914,0.03,0,2351,1198,1731,,,,,,,,
2/5/24 9:30,,,4407,4034,0.915,0.06,0.017,2150,1037,988,,,,,,,,
2/5/24 9:47,,,4313,3842,0.891,0.03,0.034,2010,974,1072,,,,,,,,
2/5/24 10:03,,,4502,4223,0.938,0.15,0.068,1715,844,994,,,,,,,,
2/5/24 10:20,,,3992,3731,0.935,0.06,0.017,2125,1044,807,,,,,,,,
2/5/24 10:37,,,4393,3990,0.908,0,0.017,1189,500,175,,,,,,,,
2/5/24 10:54,,,3320,2773,0.835,0,0,735,252,34,,,,,,,,
2/5/24 11:11,,,4330,3922,0.906,0.09,0.034,1687,736,513,,,,,,,,
2/5/24 11:28,,,3840,3651,0.951,0.05,0.034,1429,587,321,,,,,,,,
2/5/24 11:45,,,3663,3373,0.921,0.03,0,822,297,6,,,,,,,,
2/5/24 12:02,,,3810,3412,0.896,0.03,0.017,879,304,65,,,,,,,,
2/5/24 12:18,,,3503,3077,0.878,0,0.017,936,326,28,,,,,,,,
2/5/24 12:35,,,3531,3155,0.893,0.08,0,781,273,54,,,,,,,,
2/5/24 12:52,,,4363,4108,0.942,0.12,0.136,1936,928,692,,,,,,,,
2/5/24 13:09,,,3329,3102,0.932,0,0,876,304,1,,,,,,,,
2/5/24 13:26,,,3133,2749,0.878,0.06,0,406,25,0,,,,,,,,
2/5/24 13:43,,,3234,3185,0.985,0.09,0.017,720,210,21,,,,,,,,
2/5/24 14:00,,,2971,2803,0.943,0,0,423,44,0,,,,,,,,
2/5/24 14:17,,,3054,2662,0.872,0,0,646,216,34,,,,,,,,
2/5/24 14:33,,,3937,3785,0.961,0.14,0.034,804,236,32,,,,,,,,
2/5/24 14:50,,,3133,2709,0.865,0,0,338,16,1,,,,,,,,
2/5/24 15:07,OFF1,1,2941,2684,0.913,0,0,465,64,0,,,,,,,,
2/5/24 15:24,OFF1,2,3947,3896,0.987,0.17,0,1005,319,30,,,,,,,,
2/5/24 15:41,OFF1,3,4563,4401,0.965,0.08,0.085,2161,1043,1077,,,,,,,,
