===============,,,===============,===============,===============,===============,===============,===============,===============,===============
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS
===============,,,===============,===============,===============,===============,===============,===============,===============,===============
2/5/24 8:09,,,3284,2439,0.743,0,0,1537,536,226
2/5/24 8:26,,,4192,3411,0.814,0,0,2802,1422,919
2/5/24 8:42,,,4104,3331,0.811,0,0,2822,1446,1008
2/5/24 8:59,,,3721,3021,0.812,0.05,0,2453,1300,892
2/5/24 9:16,,,4049,3432,0.848,0,0.019,2412,1190,1643
2/5/24 9:33,,,3940,3277,0.832,0,0,3243,1746,2143
2/5/24 9:50,,,3686,3032,0.823,0.08,0,2464,1252,1365
2/5/24 10:07,,,3591,3142,0.875,0,0,3164,1514,1526
2/5/24 10:24,,,3641,3243,0.891,0.08,0.038,2446,1053,1122
2/5/24 10:41,,,3549,3091,0.871,0.02,0,1475,631,793
2/5/24 10:57,,,3667,3247,0.885,0,0.057,1841,713,1030
2/5/24 11:14,,,3472,2731,0.787,0,0.019,593,151,564
2/5/24 11:31,,,3680,3271,0.889,0.12,0.057,1361,481,494
2/5/24 11:48,,,2874,2442,0.85,0,0,633,38,264
2/5/24 12:05,,,3364,3077,0.915,0.04,0.019,1145,354,352
2/5/24 12:22,,,3417,3220,0.942,0.04,0.095,2231,925,943
2/5/24 12:39,,,2838,2439,0.859,0,0,474,91,24
2/5/24 12:56,,,3354,2863,0.854,0,0,539,147,284
2/5/24 13:12,,,2726,2263,0.83,0,0,257,87,120
2/5/24 13:29,,,3193,2831,0.886,0.05,0.019,779,230,791
2/5/24 13:46,,,3360,3076,0.915,0.04,0.019,436,174,333
2/5/24 14:03,,,3127,2656,0.849,0,0,694,62,403
2/5/24 14:20,,,2517,2195,0.872,0,0,859,294,33
2/5/24 14:37,,,2817,2572,0.913,0,0,380,80,845
2/5/24 14:54,,,2905,2721,0.937,0,0.038,67,10,183
2/5/24 15:11,OFF1,1,2933,2678,0.913,0,0,90,6,35
2/5/24 15:27,OFF1,2,3575,3355,0.939,0,0,373,69,597
2/5/24 15:44,OFF1,3,3268,3114,0.953,0,0,972,217,780
2/5/24 16:01,OFF1,4,3666,3428,0.935,0.18,0.057,1042,381,686
2/5/24 16:18,OFF1,5,2861,2696,0.942,0.08,0.038,316,116,234
2/5/24 16:35,OFF1,6,3999,3873,0.968,0.15,0.114,1590,725,1042
2/5/24 16:52,OFF1,7,3678,3504,0.953,0.07,0.038,1864,803,991
2/5/24 17:09,OFF1,8,3590,3489,0.972,0.08,0.038,1758,695,1239
2/5/24 17:26,OFF1,9,3140,2949,0.939,0.1,0.038,768,272,588
2/5/24 17:42,OFF1,10,3247,3161,0.974,0.15,0.171,1734,765,543
