===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/5/24 8:06,,,2966,1951,0.658,0,0.032,371,197,42,,,,,,,,
2/5/24 8:23,,,4543,3444,0.758,0,0,2383,1266,768,,,,,,,,
2/5/24 8:40,,,4261,3398,0.798,0,0,2754,1503,1477,,,,,,,,
2/5/24 8:57,,,3989,3154,0.791,0,0,2519,1349,1356,,,,,,,,
2/5/24 9:14,,,3888,3055,0.786,0,0,2506,1391,886,,,,,,,,
2/5/24 9:31,,,3739,2945,0.788,0,0.016,2695,1534,993,,,,,,,,
2/5/24 9:48,,,3509,2737,0.78,0,0.016,2471,1355,743,,,,,,,,
2/5/24 10:05,,,3292,2589,0.787,0,0,1761,898,366,,,,,,,,
2/5/24 10:21,,,3191,2673,0.837,0.08,0,1583,703,255,,,,,,,,
2/5/24 10:38,,,2639,2206,0.836,0,0.016,2130,927,213,,,,,,,,
2/5/24 10:55,,,2713,2019,0.744,0,0,1380,452,0,,,,,,,,
2/5/24 11:12,,,2594,1944,0.749,0,0.016,1409,449,0,,,,,,,,
2/5/24 11:29,,,2741,2058,0.751,0,0,1518,520,0,,,,,,,,
2/5/24 11:46,,,2347,1764,0.752,0,0.016,1560,469,0,,,,,,,,
2/5/24 12:03,,,3294,2536,0.77,0,0,1757,639,31,,,,,,,,
2/5/24 12:20,,,3815,3054,0.801,0,0,2267,1180,895,,,,,,,,
2/5/24 12:36,,,3401,3019,0.888,0.15,0.016,1198,538,512,,,,,,,,
2/5/24 12:53,,,3121,2920,0.936,0.03,0.112,1404,536,91,,,,,,,,
2/5/24 13:10,,,2448,2141,0.875,0,0.016,622,141,0,,,,,,,,
2/5/24 13:27,,,2444,2011,0.823,0,0,379,15,0,,,,,,,,
2/5/24 13:44,,,3411,3071,0.9,0.09,0,1083,435,333,,,,,,,,
2/5/24 14:01,,,2280,2157,0.946,0,0.016,1695,721,121,,,,,,,,
2/5/24 14:18,,,3125,2767,0.885,0.05,0,1938,1007,376,,,,,,,,
2/5/24 14:35,,,2264,1904,0.841,0,0.016,1582,594,107,,,,,,,,
2/5/24 14:51,,,3296,2711,0.822,0.03,0,1293,444,11,,,,,,,,
2/5/24 15:08,OFF1,1,2839,2349,0.827,0,0,1172,387,52,,,,,,,,
2/5/24 15:25,OFF1,2,2422,2152,0.888,0.11,0.016,753,257,45,,,,,,,,
2/5/24 15:42,OFF1,3,3412,3348,0.981,0.07,0.112,2368,1028,171,,,,,,,,
