===============,,,===============,===============,===============,===============,===============,===============,===============,===============
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS
===============,,,===============,===============,===============,===============,===============,===============,===============,===============
2/5/24 8:00,,,1394,772,0.553,0.03,0,315,179,85
2/5/24 8:17,,,3949,3229,0.818,0.07,0,4087,2134,1654
2/5/24 8:33,,,3372,2770,0.822,0,0,2852,1351,1043
2/5/24 8:50,,,3269,2596,0.794,0,0,3228,1638,1063
2/5/24 9:07,,,3112,2605,0.837,0,0,2176,1014,858
2/5/24 9:24,,,2714,2272,0.837,0,0,1842,559,952
2/5/24 9:41,,,2387,1916,0.803,0,0,1763,485,657
2/5/24 9:58,,,3168,2576,0.813,0.04,0,2233,1066,810
2/5/24 10:15,,,2118,1853,0.875,0.03,0,1935,488,654
2/5/24 10:32,,,2064,1657,0.803,0,0,1402,386,299
2/5/24 10:48,,,2873,2508,0.873,0.11,0.034,1936,779,686
2/5/24 11:05,,,1960,1746,0.891,0,0,917,70,16
2/5/24 11:22,,,2990,2658,0.889,0.12,0.034,1779,556,640
2/5/24 11:39,,,1966,1900,0.966,0,0.034,1530,345,492
2/5/24 11:56,,,1762,1698,0.963,0,0,1867,521,17
2/5/24 12:13,,,2280,2142,0.94,0,0.034,1879,701,1033
2/5/24 12:30,,,2789,2368,0.849,0.09,0,1560,419,230
2/5/24 12:47,,,2044,1867,0.913,0.08,0.034,1774,418,396
2/5/24 13:03,,,1855,1762,0.95,0,0,1025,65,3
2/5/24 13:20,,,2652,2486,0.937,0,0,1181,355,233
2/5/24 13:37,,,2004,1796,0.896,0,0,1598,116,17
2/5/24 13:54,,,2384,2268,0.952,0.13,0.034,1661,506,554
2/5/24 14:11,,,2146,2021,0.941,0,0,1021,48,61
2/5/24 14:28,,,2344,2215,0.945,0,0,1016,146,301
2/5/24 14:45,,,2805,2620,0.934,0.12,0,1504,457,758
2/5/24 15:02,OFF1,1,2253,2057,0.913,0,0.034,1540,72,213
2/5/24 15:18,OFF1,2,2483,2466,0.993,0.12,0,1255,257,386
2/5/24 15:35,OFF1,3,2752,2716,0.987,0,0,1641,228,363
2/5/24 15:52,OFF1,4,3220,2984,0.927,0,0.051,1832,578,890
2/5/24 16:09,OFF1,5,3321,2950,0.888,0.13,0,2776,1296,2214
2/5/24 16:26,OFF1,6,3113,2986,0.959,0.05,0.136,2411,1055,1574
2/5/24 16:43,OFF1,7,3051,2973,0.974,0.03,0.068,2076,979,1322
2/5/24 17:00,OFF1,8,3366,3087,0.917,0.17,0,2383,1030,805
2/5/24 17:17,OFF1,9,3190,3071,0.963,0.08,0.051,2404,1116,866
