===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/12/24 5:55,,,2262,2152,0.951,0,0,350,23,0,,,,,,,,
2/12/24 6:12,,,2331,2113,0.907,0,0,319,40,0,,,,,,,,
2/12/24 6:29,,,2409,2263,0.94,0.12,0,466,160,124,,,,,,,,
2/12/24 6:45,,,2533,2234,0.882,0,0,26,6,0,,,,,,,,
2/12/24 7:02,,,2347,1998,0.851,0,0,185,29,0,,,,,,,,
2/12/24 7:19,,,2310,1943,0.841,0.03,0,172,18,0,,,,,,,,
2/12/24 7:36,,,2150,1803,0.838,0,0,235,36,0,,,,,,,,
2/12/24 7:53,,,2266,1913,0.844,0,0,133,7,0,,,,,,,,
2/12/24 8:10,,,2636,2406,0.913,0.1,0,279,78,26,,,,,,,,
2/12/24 8:27,,,1898,1894,0.998,0,0,250,56,53,,,,,,,,
2/12/24 8:44,,,2204,2006,0.91,0.03,0,10,1,0,,,,,,,,
2/12/24 9:00,,,2650,2155,0.813,0.12,0,155,44,6,,,,,,,,
2/12/24 9:17,,,2375,2115,0.89,0,0,502,199,0,,,,,,,,
2/12/24 9:34,,,2401,2173,0.905,0,0,918,106,0,,,,,,,,
2/12/24 9:51,,,2406,2292,0.953,0.08,0,71,23,0,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
