===============,,,===============,===============,===============,===============,===============,===============,===============,===============
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS
===============,,,===============,===============,===============,===============,===============,===============,===============,===============
2/5/24 8:01,,,1533,776,0.506,0,0,216,146,55
2/5/24 8:18,,,4827,3797,0.787,0,0,2675,1388,744
2/5/24 8:35,,,4069,3272,0.804,0.01,0,2061,957,1025
2/5/24 8:51,,,4008,3251,0.811,0,0,1842,794,645
2/5/24 9:08,,,4160,3385,0.814,0.04,0,1933,851,1278
2/5/24 9:25,,,4185,3403,0.813,0.03,0,1933,866,664
2/5/24 9:42,,,3775,3338,0.884,0.07,0,2154,957,934
2/5/24 9:59,,,3782,3413,0.903,0.07,0,1782,777,722
2/5/24 10:16,,,3402,3165,0.93,0,0,1919,852,719
2/5/24 10:33,,,3553,3370,0.949,0.13,0.051,1860,861,693
2/5/24 10:50,,,3657,3474,0.95,0.05,0.034,1593,699,573
2/5/24 11:06,,,3465,3152,0.91,0.02,0,1651,596,315
2/5/24 11:23,,,3522,3014,0.856,0.1,0.017,1570,702,706
2/5/24 11:40,,,3379,3003,0.889,0,0,1280,450,94
2/5/24 11:57,,,2352,1973,0.839,0,0,257,80,0
2/5/24 12:14,,,2351,1912,0.813,0,0.017,419,107,0
2/5/24 12:31,,,3778,3215,0.851,0,0.017,1462,698,1002
2/5/24 12:48,,,3693,3296,0.892,0.18,0.085,1433,642,719
2/5/24 13:05,,,3129,2925,0.935,0,0,1266,293,57
2/5/24 13:21,,,2182,1926,0.883,0,0,156,21,0
2/5/24 13:38,,,2488,2049,0.824,0,0,71,5,0
2/5/24 13:55,,,3734,3196,0.856,0.04,0.017,937,422,844
2/5/24 14:12,,,2563,2279,0.889,0.05,0.051,610,184,165
2/5/24 14:29,,,2374,2104,0.886,0,0,128,3,0
2/5/24 14:46,,,3030,2447,0.808,0.07,0,146,33,14
2/5/24 15:03,OFF1,1,3500,3285,0.939,0.03,0.068,976,308,538
2/5/24 15:20,OFF1,2,3308,2925,0.884,0.04,0,990,118,11
2/5/24 15:36,OFF1,3,2346,2041,0.87,0,0,164,16,0
2/5/24 15:53,OFF1,4,2698,2204,0.817,0,0,140,20,0
2/5/24 16:10,OFF1,5,3752,3393,0.904,0.09,0.034,699,215,269
2/5/24 16:27,OFF1,6,2919,2697,0.924,0.01,0.017,935,234,290
2/5/24 16:44,OFF1,7,2998,2578,0.86,0,0,90,25,7
2/5/24 17:01,OFF1,8,2738,2495,0.911,0.14,0.017,471,105,43
2/5/24 17:18,OFF1,9,3894,3709,0.953,0.12,0.034,907,249,192
2/5/24 17:35,OFF1,10,4147,3811,0.919,0,0.102,1962,801,1718
