===============,,,===============,===============,===============,===============,===============,===============,===============,===============
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS
===============,,,===============,===============,===============,===============,===============,===============,===============,===============
2/5/24 8:08,,,3408,2681,0.787,0,0,1108,698,594
2/5/24 8:24,,,4429,3526,0.796,0,0,4088,2509,1423
2/5/24 8:41,,,4079,3243,0.795,0,0,4280,2643,1798
2/5/24 8:58,,,3865,2989,0.773,0,0,4232,2612,1677
2/5/24 9:15,,,3801,3062,0.805,0.06,0,3853,2378,1999
2/5/24 9:32,,,3758,2947,0.784,0.05,0,4210,2543,2254
2/5/24 9:49,,,3389,2853,0.842,0,0,3555,2075,1672
2/5/24 10:06,,,2979,2541,0.853,0,0,1881,926,1211
2/5/24 10:23,,,2371,1775,0.749,0,0,1183,444,1091
2/5/24 10:39,,,3703,2962,0.8,0.06,0,3048,1653,1600
2/5/24 10:56,,,3181,2701,0.849,0.09,0,3023,1660,1336
2/5/24 11:13,,,2806,2449,0.873,0,0,1601,729,1073
2/5/24 11:30,,,2336,1884,0.807,0,0,1577,575,1212
2/5/24 11:47,,,2688,2204,0.82,0.06,0,1323,360,1095
2/5/24 12:04,,,3581,3291,0.919,0.05,0.044,2979,1720,1583
2/5/24 12:21,,,2404,2105,0.876,0,0,1706,717,1156
2/5/24 12:38,,,2837,2462,0.868,0.06,0,1294,461,1097
2/5/24 12:54,,,2522,2203,0.874,0.05,0,975,459,1085
2/5/24 13:11,,,2423,2107,0.87,0,0,695,334,1072
2/5/24 13:28,,,3129,2995,0.957,0.1,0.044,2058,1024,936
2/5/24 13:45,,,2550,2404,0.943,0.01,0,1357,302,1116
2/5/24 14:02,,,2685,2526,0.941,0.08,0,1235,367,1104
2/5/24 14:19,,,2597,2399,0.924,0,0.066,1313,405,1159
2/5/24 14:36,,,2622,2341,0.893,0,0,957,320,1113
2/5/24 14:53,,,2575,2383,0.926,0.11,0.022,1272,454,1127
2/5/24 15:09,OFF1,1,2551,2323,0.911,0,0,971,276,1010
2/5/24 15:26,OFF1,2,2928,2689,0.918,0.14,0,1350,518,1124
2/5/24 15:43,OFF1,3,2608,2480,0.951,0.01,0,1496,600,1056
2/5/24 16:00,OFF1,4,3885,3657,0.941,0.05,0.066,2474,1258,1249
2/5/24 16:17,OFF1,5,3559,3380,0.95,0,0.022,3248,1890,1611
2/5/24 16:34,OFF1,6,2970,2694,0.907,0.15,0.022,2888,1633,1339
2/5/24 16:51,OFF1,7,3686,3446,0.935,0,0.088,3438,1940,1934
2/5/24 17:08,OFF1,8,2725,2505,0.919,0,0,1569,609,885
2/5/24 17:24,OFF1,9,3705,3620,0.977,0.1,0,2138,1108,1181
