===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/5/24 8:14,,,4226,3390,0.802,0,0,1211,729,321,,,,,,,,
2/5/24 8:31,,,4441,4004,0.902,0,0,2448,1300,763,,,,,,,,
2/5/24 8:48,,,4018,3592,0.894,0,0,1886,935,738,,,,,,,,
2/5/24 9:05,,,4127,3434,0.832,0,0,2076,999,418,,,,,,,,
2/5/24 9:22,,,3564,2952,0.828,0.01,0.088,1396,563,730,,,,,,,,
2/5/24 9:39,,,3673,3040,0.828,0,0.044,953,375,1579,,,,,,,,
2/5/24 9:56,,,3594,3017,0.839,0.08,0.022,1323,623,803,,,,,,,,
2/5/24 10:12,,,3818,3289,0.861,0.01,0,1091,337,825,,,,,,,,
2/5/24 10:29,,,3512,3136,0.893,0.05,0,1443,551,478,,,,,,,,
2/5/24 10:46,,,2730,2318,0.849,0,0,533,92,114,,,,,,,,
2/5/24 11:03,,,4035,3343,0.828,0,0.154,438,149,378,,,,,,,,
2/5/24 11:20,,,3557,3090,0.869,0.07,0.154,1222,471,551,,,,,,,,
2/5/24 11:37,,,3334,3029,0.908,0,0.132,1341,177,563,,,,,,,,
2/5/24 11:54,,,2400,1949,0.812,0,0,117,6,12,,,,,,,,
2/5/24 12:11,,,3589,3175,0.885,0.11,0.154,1128,326,728,,,,,,,,
2/5/24 12:27,,,2694,2268,0.842,0,0,211,22,26,,,,,,,,
2/5/24 12:44,,,2902,2559,0.882,0,0,187,58,29,,,,,,,,
2/5/24 13:01,,,3334,3160,0.948,0.09,0.132,757,186,266,,,,,,,,
2/5/24 13:18,,,2613,2495,0.955,0.18,0.044,562,177,57,,,,,,,,
2/5/24 13:35,,,2550,2437,0.956,0,0.176,548,162,429,,,,,,,,
2/5/24 13:52,,,2393,2359,0.986,0,0,22,6,0,,,,,,,,
2/5/24 14:09,,,2911,2899,0.996,0.09,0,497,133,167,,,,,,,,
2/5/24 14:26,,,3076,2935,0.954,0,0,186,13,11,,,,,,,,
2/5/24 14:42,,,3252,2792,0.859,0,0,396,56,23,,,,,,,,
2/5/24 14:59,,,2825,2591,0.917,0.1,0,331,51,108,,,,,,,,
2/5/24 15:16,OFF1,1,2848,2732,0.959,0.11,0.088,407,76,97,,,,,,,,
2/5/24 15:33,OFF1,2,3804,3738,0.983,0,0,452,132,274,,,,,,,,
2/5/24 15:50,OFF1,3,4256,4042,0.95,0,0,1457,505,1318,,,,,,,,
2/5/24 16:07,OFF1,4,4145,3657,0.882,0,0,1533,719,1580,,,,,,,,
