===============,,,===============,===============,===============,===============,===============,===============,===============,===============
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS
===============,,,===============,===============,===============,===============,===============,===============,===============,===============
2/5/24 8:13,,,3379,2509,0.743,0,0,1598,853,179
2/5/24 8:30,,,4163,3286,0.79,0,0,2923,1549,771
2/5/24 8:47,,,3860,3228,0.836,0.05,0,2556,1376,929
2/5/24 9:04,,,3691,3140,0.851,0,0,2003,965,664
2/5/24 9:21,,,3559,3046,0.856,0.08,0,2219,1032,491
2/5/24 9:38,,,3400,2850,0.838,0.02,0.021,1520,634,454
2/5/24 9:54,,,3435,2963,0.863,0,0.021,1498,703,280
2/5/24 10:11,,,3253,2838,0.872,0.06,0,1604,607,103
2/5/24 10:28,,,3201,2725,0.851,0,0.021,1028,375,181
2/5/24 10:45,,,2603,2090,0.803,0,0.021,139,43,0
2/5/24 11:02,,,2344,1813,0.773,0,0,68,13,0
2/5/24 11:19,,,3669,2957,0.806,0.06,0,514,239,48
2/5/24 11:36,,,3685,3363,0.913,0.09,0.063,1403,653,413
2/5/24 11:53,,,3110,3024,0.972,0,0.063,1052,311,132
2/5/24 12:09,,,2312,2020,0.874,0,0.021,611,268,103
2/5/24 12:26,,,2536,2008,0.792,0.03,0,134,57,3
2/5/24 12:43,,,3590,3303,0.92,0,0.042,1515,693,576
2/5/24 13:00,,,3018,2940,0.974,0,0.042,945,376,107
2/5/24 13:17,,,2425,2181,0.899,0,0,152,36,0
2/5/24 13:34,,,2405,2101,0.873,0,0,30,4,0
2/5/24 13:51,,,2322,1984,0.855,0,0,61,13,0
2/5/24 14:08,,,2913,2612,0.897,0,0.021,603,164,86
2/5/24 14:24,,,2426,2056,0.847,0,0,25,7,0
2/5/24 14:41,,,3236,2534,0.783,0.04,0,284,114,62
2/5/24 14:58,,,3480,3093,0.889,0.03,0.021,1252,368,164
2/5/24 15:15,OFF1,1,2623,2341,0.892,0,0,119,18,0
2/5/24 15:32,OFF1,2,3488,3185,0.913,0.11,0,656,130,22
2/5/24 15:49,OFF1,3,3849,3631,0.943,0.06,0,1217,501,594
2/5/24 16:06,OFF1,4,4020,3833,0.953,0.14,0.063,1547,816,784
2/5/24 16:23,OFF1,5,3984,3839,0.964,0.09,0.126,1528,791,754
2/5/24 16:39,OFF1,6,3765,3600,0.956,0.04,0.021,1637,757,783
2/5/24 16:56,OFF1,7,4205,3979,0.946,0.1,0.126,2274,976,369
2/5/24 17:13,OFF1,8,3983,3925,0.985,0.14,0.126,1644,804,886
2/5/24 17:30,OFF1,9,3730,3672,0.985,0.08,0.105,1714,799,1233
2/5/24 17:47,OFF1,10,4056,3851,0.949,0.05,0,1610,687,1069
