===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/5/24 8:04,,,2437,1523,0.625,0,0,740,334,177,,,,,,,,
2/5/24 8:21,,,4831,3761,0.778,0.06,0,3591,1955,1132,,,,,,,,
2/5/24 8:38,,,4526,3655,0.808,0,0,2751,1437,684,,,,,,,,
2/5/24 8:55,,,4219,3659,0.867,0.11,0,1824,825,531,,,,,,,,
2/5/24 9:12,,,3851,3418,0.888,0,0,1553,635,206,,,,,,,,
2/5/24 9:29,,,3429,2921,0.852,0.03,0,1134,410,91,,,,,,,,
2/5/24 9:45,,,4080,3525,0.864,0.03,0,1203,578,332,,,,,,,,
2/5/24 10:02,,,3676,3250,0.884,0,0.014,1856,904,370,,,,,,,,
2/5/24 10:19,,,3175,2629,0.828,0.03,0,781,258,63,,,,,,,,
2/5/24 10:36,,,2705,2283,0.844,0.02,0.028,762,271,103,,,,,,,,
2/5/24 10:53,,,3067,2826,0.921,0.08,0,833,288,101,,,,,,,,
2/5/24 11:10,,,3287,3104,0.944,0.08,0,833,217,36,,,,,,,,
2/5/24 11:27,,,2721,2522,0.927,0,0,661,160,0,,,,,,,,
2/5/24 11:44,,,3088,2867,0.928,0.1,0.014,335,63,20,,,,,,,,
2/5/24 12:00,,,3190,2982,0.935,0.06,0.056,393,101,45,,,,,,,,
2/5/24 12:17,,,3036,2810,0.926,0,0,422,72,0,,,,,,,,
2/5/24 12:34,,,3972,3792,0.955,0.08,0.042,1111,464,262,,,,,,,,
2/5/24 12:51,,,2803,2669,0.952,0,0,786,179,6,,,,,,,,
2/5/24 13:08,,,2853,2560,0.897,0,0,800,189,0,,,,,,,,
2/5/24 13:25,,,2952,2871,0.973,0,0.042,312,94,37,,,,,,,,
2/5/24 13:42,,,2709,2636,0.973,0,0,577,112,0,,,,,,,,
2/5/24 13:59,,,2986,2779,0.931,0,0,359,84,0,,,,,,,,
2/5/24 14:15,,,3603,3382,0.939,0,0,851,276,45,,,,,,,,
2/5/24 14:32,,,2971,2643,0.89,0.12,0.028,456,122,8,,,,,,,,
2/5/24 14:49,,,3080,2868,0.931,0,0,538,143,27,,,,,,,,
2/5/24 15:06,OFF1,1,3101,2890,0.932,0,0,236,41,0,,,,,,,,
2/5/24 15:23,OFF1,2,3440,3246,0.944,0.09,0.028,691,282,134,,,,,,,,
2/5/24 15:40,OFF1,3,3414,3286,0.963,0,0,649,223,51,,,,,,,,
2/5/24 15:57,OFF1,4,3603,3605,1.001,0,0.056,1245,491,549,,,,,,,,
