===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:22,,3248,2756,0.849,0,0,1607,1030,625,,,,,,,,
2/27/24 12:38,,3980,3586,0.901,0,0,4038,2598,1973,,,,,,,,
2/27/24 12:55,,3826,3401,0.889,0.03,0,4489,2809,1712,,,,,,,,
2/27/24 13:12,,3709,3157,0.851,0,0,3876,2435,1598,,,,,,,,
2/27/24 13:29,,3789,3274,0.864,0.08,0,3313,1983,1352,,,,,,,,
2/27/24 13:46,,3601,3036,0.843,0,0,3587,2057,1282,,,,,,,,
2/27/24 14:03,,3635,3047,0.838,0.1,0,2907,1715,880,,,,,,,,
2/27/24 14:20,,3187,2834,0.889,0.1,0,2310,1241,692,,,,,,,,
2/27/24 14:37,,3569,3037,0.851,0.05,0,2610,1515,599,,,,,,,,
2/27/24 14:53,,3148,2778,0.882,0.06,0.088,2222,1346,584,,,,,,,,
2/27/24 15:10,ON1,3462,2877,0.831,0,0.11,2941,1744,717,,,,,,,,
2/27/24 15:27,ON1,2806,2263,0.806,0,0.044,1869,940,446,,,,,,,,
2/27/24 15:44,ON1,2836,2485,0.876,0,0,1345,490,374,,,,,,,,
2/27/24 16:01,ON1,2922,2653,0.908,0.04,0.088,1778,796,500,,,,,,,,
2/27/24 16:18,ON1,2964,2686,0.906,0.03,0,1065,552,392,,,,,,,,
2/27/24 16:35,ON1,3254,2907,0.894,0.04,0,2505,1473,703,,,,,,,,
2/27/24 16:52,ON1,2599,2186,0.841,0,0,1220,340,405,,,,,,,,
2/27/24 17:08,ON1,2696,2239,0.831,0.09,0,886,262,338,,,,,,,,
2/27/24 17:25,ON1,2242,2035,0.908,0.06,0,1826,830,460,,,,,,,,
2/27/24 17:42,ON1,2287,2065,0.903,0,0,1039,177,390,,,,,,,,
2/27/24 17:59,ON1,2586,2321,0.898,0.05,0.022,951,289,365,,,,,,,,
2/27/24 18:16,ON1,2794,2494,0.893,0.09,0,668,431,348,,,,,,,,
2/27/24 18:33,ON1,3248,2939,0.905,0,0,3529,2151,894,,,,,,,,
2/27/24 18:50,ON1,2886,2654,0.919,0.04,0,1769,861,509,,,,,,,,
2/27/24 19:07,ON1,2332,2020,0.866,0,0.022,1117,344,370,,,,,,,,
2/27/24 19:23,ON1,2346,2045,0.871,0,0,1242,409,361,,,,,,,,
2/27/24 19:40,ON1,2254,1901,0.843,0,0,1158,328,365,,,,,,,,
2/27/24 19:57,ON1,2305,2070,0.898,0.1,0,1265,620,428,,,,,,,,
