===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:20,,2408,1887,0.784,0.03,0.048,667,378,230,,,,,,,,
2/27/24 12:37,,4188,3666,0.875,0.07,0.08,2787,1431,1098,,,,,,,,
2/27/24 12:54,,4145,3666,0.884,0,0,2354,1148,1156,,,,,,,,
2/27/24 13:11,,3876,3505,0.904,0,0.112,2510,1353,1222,,,,,,,,
2/27/24 13:28,,4024,3824,0.951,0.16,0,2308,1211,1686,,,,,,,,
2/27/24 13:45,,3868,3594,0.929,0.09,0,2423,1266,1611,,,,,,,,
2/27/24 14:02,,3607,3323,0.921,0,0.112,1911,960,599,,,,,,,,
2/27/24 14:19,,3764,3639,0.967,0.14,0.08,1492,762,906,,,,,,,,
2/27/24 14:35,,3685,3587,0.973,0.08,0,1656,761,853,,,,,,,,
2/27/24 14:52,,3347,3294,0.984,0,0,1313,413,116,,,,,,,,
2/27/24 15:09,ON1,2710,2365,0.873,0,0,267,66,0,,,,,,,,
2/27/24 15:26,ON1,3729,3397,0.911,0.08,0.016,745,294,251,,,,,,,,
2/27/24 15:43,ON1,3572,3511,0.983,0,0.08,1913,855,688,,,,,,,,
2/27/24 16:00,ON1,3530,3357,0.951,0,0,1718,796,1054,,,,,,,,
2/27/24 16:17,ON1,2585,2277,0.881,0,0,220,63,11,,,,,,,,
2/27/24 16:34,ON1,3587,3278,0.914,0.07,0.096,1136,491,511,,,,,,,,
2/27/24 16:50,ON1,3499,3315,0.947,0.13,0.112,1489,644,280,,,,,,,,
2/27/24 17:07,ON1,2921,2631,0.901,0,0,677,233,179,,,,,,,,
2/27/24 17:24,ON1,2420,2118,0.875,0,0,188,23,0,,,,,,,,
2/27/24 17:41,ON1,2916,2605,0.893,0.15,0,1131,390,211,,,,,,,,
2/27/24 17:58,ON1,2543,2283,0.898,0,0.016,410,81,0,,,,,,,,
2/27/24 18:15,ON1,2423,2181,0.9,0,0,170,20,0,,,,,,,,
2/27/24 18:32,ON1,2886,2396,0.83,0.11,0,536,181,57,,,,,,,,
2/27/24 18:49,ON1,2747,2512,0.914,0,0.016,1260,490,202,,,,,,,,
2/27/24 19:05,ON1,2503,2236,0.893,0,0,287,64,0,,,,,,,,
2/27/24 19:22,ON1,2572,2282,0.887,0.07,0,235,44,0,,,,,,,,
2/27/24 19:39,ON1,2506,2351,0.938,0.09,0.016,505,143,14,,,,,,,,
2/27/24 19:56,ON1,2653,2497,0.941,0.03,0,159,34,0,,,,,,,,
