===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:15,,1767,1587,0.898,0,0,430,281,55,,,,,,,,
2/27/24 12:32,,4442,4010,0.903,0,0,3820,2099,559,,,,,,,,
2/27/24 12:49,,4154,3667,0.883,0.05,0,2873,1665,402,,,,,,,,
2/27/24 13:05,,4276,3759,0.879,0.11,0.068,2952,1702,447,,,,,,,,
2/27/24 13:22,,4064,3669,0.903,0,0.085,2706,1373,474,,,,,,,,
2/27/24 13:39,,3849,3578,0.93,0.04,0.068,2538,1134,340,,,,,,,,
2/27/24 13:56,,3349,3069,0.917,0.11,0,2064,1366,1,,,,,,,,
2/27/24 14:13,,3546,3304,0.932,0.04,0,1637,992,89,,,,,,,,
2/27/24 14:30,,3596,3377,0.939,0.17,0.085,2109,1101,273,,,,,,,,
2/27/24 14:47,,3671,3594,0.979,0.12,0.085,1850,924,97,,,,,,,,
2/27/24 15:04,ON1,2818,2572,0.912,0.16,0,1213,525,0,,,,,,,,
2/27/24 15:20,ON1,2826,2671,0.945,0,0.068,1743,747,14,,,,,,,,
2/27/24 15:37,ON1,3963,3766,0.95,0.04,0,1767,846,187,,,,,,,,
2/27/24 15:54,ON1,3696,3467,0.938,0.15,0.068,1846,901,338,,,,,,,,
2/27/24 16:11,ON1,2615,2436,0.931,0,0,280,197,0,,,,,,,,
2/27/24 16:28,ON1,3459,3343,0.967,0,0,795,377,0,,,,,,,,
2/27/24 16:45,ON1,3616,3466,0.958,0.15,0.102,2021,958,115,,,,,,,,
2/27/24 17:02,ON1,2698,2445,0.906,0.09,0,1516,742,0,,,,,,,,
2/27/24 17:19,ON1,2559,2347,0.917,0,0,1379,708,0,,,,,,,,
2/27/24 17:35,ON1,2686,2494,0.929,0,0,1350,661,0,,,,,,,,
2/27/24 17:52,ON1,2811,2400,0.854,0.09,0,1471,687,0,,,,,,,,
2/27/24 18:09,ON1,2555,2368,0.927,0,0,1453,710,0,,,,,,,,
2/27/24 18:26,ON1,3194,3091,0.968,0.14,0.068,1633,718,7,,,,,,,,
2/27/24 18:43,ON1,3819,3683,0.964,0,0.102,2163,896,204,,,,,,,,
2/27/24 19:00,ON1,2856,2659,0.931,0.06,0,1915,851,43,,,,,,,,
2/27/24 19:17,ON1,2774,2587,0.933,0.01,0,1631,650,0,,,,,,,,
2/27/24 19:34,ON1,2644,2452,0.927,0,0,1535,655,0,,,,,,,,
2/27/24 19:50,ON1,2573,2331,0.906,0.09,0,1711,683,0,,,,,,,,
