===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:19,,2377,2043,0.86,0.04,0,777,399,132,,,,,,,,
2/27/24 12:36,,4031,3730,0.925,0.15,0,2969,1398,736,,,,,,,,
2/27/24 12:53,,3867,3808,0.985,0,0.051,2552,1223,509,,,,,,,,
2/27/24 13:10,,3559,3447,0.969,0.08,0.085,1843,810,309,,,,,,,,
2/27/24 13:27,,3205,3136,0.978,0,0,1388,467,12,,,,,,,,
2/27/24 13:44,,3666,3529,0.963,0,0.017,1303,499,134,,,,,,,,
2/27/24 14:01,,3624,3445,0.951,0.06,0.085,1933,845,322,,,,,,,,
2/27/24 14:17,,2621,2498,0.953,0,0,1048,268,0,,,,,,,,
2/27/24 14:34,,2557,2393,0.936,0,0,1052,240,0,,,,,,,,
2/27/24 14:51,,3212,3225,1.004,0.09,0.017,1484,459,1,,,,,,,,
2/27/24 15:08,ON1,3577,3327,0.93,0.04,0.017,1664,634,72,,,,,,,,
2/27/24 15:25,ON1,2619,2461,0.94,0,0,1328,351,0,,,,,,,,
2/27/24 15:42,ON1,2545,2481,0.975,0,0,1063,278,0,,,,,,,,
2/27/24 15:59,ON1,2684,2292,0.854,0,0,1238,327,0,,,,,,,,
2/27/24 16:16,ON1,3389,3198,0.943,0.18,0.051,1858,684,121,,,,,,,,
2/27/24 16:32,ON1,2458,2302,0.937,0,0,914,116,0,,,,,,,,
2/27/24 16:49,ON1,2481,2266,0.913,0,0,525,31,0,,,,,,,,
2/27/24 17:06,ON1,3152,2961,0.939,0,0,1089,229,2,,,,,,,,
2/27/24 17:23,ON1,2547,2313,0.908,0.03,0.017,1661,776,22,,,,,,,,
2/27/24 17:40,ON1,2888,2638,0.914,0.1,0,1633,621,9,,,,,,,,
2/27/24 17:57,ON1,2672,2482,0.929,0,0.034,1117,282,9,,,,,,,,
2/27/24 18:14,ON1,2590,2361,0.912,0,0,697,46,0,,,,,,,,
2/27/24 18:31,ON1,2781,2372,0.853,0.04,0,960,122,0,,,,,,,,
2/27/24 18:47,ON1,3506,3306,0.943,0.12,0.119,1539,607,151,,,,,,,,
2/27/24 19:04,ON1,2440,2263,0.927,0,0,1127,153,0,,,,,,,,
2/27/24 19:21,ON1,2519,2210,0.877,0,0,954,217,0,,,,,,,,
2/27/24 19:38,ON1,2510,2345,0.934,0.09,0,1184,303,3,,,,,,,,
2/27/24 19:55,ON1,2367,2146,0.907,0,0,1236,172,0,,,,,,,,
