===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:26,,3807,3359,0.882,0,0,1272,982,609,,,,,,,,
2/27/24 12:43,,4107,3666,0.893,0,0,2256,1642,1875,,,,,,,,
2/27/24 13:00,,3884,3492,0.899,0.06,0,1928,1367,1328,,,,,,,,
2/27/24 13:17,,3928,3516,0.895,0.1,0.095,1627,1139,1210,,,,,,,,
2/27/24 13:34,,3802,3254,0.856,0.06,0.057,1705,1191,902,,,,,,,,
2/27/24 13:50,,3684,3255,0.884,0.1,0.019,1006,700,543,,,,,,,,
2/27/24 14:07,,3755,3265,0.87,0.09,0.095,940,595,713,,,,,,,,
2/27/24 14:24,,3760,3335,0.887,0.02,0.076,1150,746,691,,,,,,,,
2/27/24 14:41,,3496,3282,0.939,0,0.133,992,610,571,,,,,,,,
2/27/24 14:58,,3415,3220,0.943,0.06,0.019,849,496,204,,,,,,,,
2/27/24 15:15,ON1,3292,3070,0.932,0.17,0.019,898,529,321,,,,,,,,
2/27/24 15:32,ON1,3200,2962,0.926,0.11,0,1031,496,29,,,,,,,,
2/27/24 15:49,ON1,3368,2970,0.882,0.02,0.038,635,289,115,,,,,,,,
2/27/24 16:05,ON1,3224,2885,0.895,0.04,0,977,506,70,,,,,,,,
2/27/24 16:22,ON1,3323,2864,0.862,0,0,655,298,134,,,,,,,,
2/27/24 16:39,ON1,2779,2427,0.873,0.15,0.019,953,492,64,,,,,,,,
2/27/24 16:56,ON1,2444,2157,0.883,0,0,203,29,0,,,,,,,,
2/27/24 17:13,ON1,3554,3236,0.911,0.07,0.057,571,292,426,,,,,,,,
2/27/24 17:30,ON1,3075,2773,0.902,0,0,745,387,127,,,,,,,,
2/27/24 17:47,ON1,2636,2210,0.838,0,0,238,39,0,,,,,,,,
2/27/24 18:04,ON1,3313,3017,0.911,0,0.095,781,384,61,,,,,,,,
2/27/24 18:20,ON1,2706,2390,0.883,0,0,308,113,0,,,,,,,,
2/27/24 18:37,ON1,2719,2495,0.917,0,0,397,142,0,,,,,,,,
2/27/24 18:54,ON1,2613,2248,0.86,0,0,208,19,0,,,,,,,,
2/27/24 19:11,ON1,2906,2503,0.861,0.09,0,348,133,0,,,,,,,,
2/27/24 19:28,ON1,2539,2329,0.917,0,0,977,496,18,,,,,,,,
2/27/24 19:45,ON1,2442,2189,0.896,0,0,212,49,0,,,,,,,,
2/27/24 20:02,ON1,2591,2212,0.854,0,0,197,21,0,,,,,,,,
