===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:28,,4129,3631,0.88,0,0,3108,1640,468,,,,,,,,
2/27/24 12:45,,3954,3677,0.93,0,0.022,4615,1985,905,,,,,,,,
2/27/24 13:02,,3806,3568,0.937,0.07,0.066,2540,1259,674,,,,,,,,
2/27/24 13:19,,3678,3497,0.951,0,0.176,2375,925,565,,,,,,,,
2/27/24 13:36,,3704,3430,0.926,0.02,0.132,1938,674,285,,,,,,,,
2/27/24 13:53,,3381,3137,0.928,0.11,0.066,2230,758,118,,,,,,,,
2/27/24 14:10,,3367,3186,0.946,0.08,0.066,2257,711,74,,,,,,,,
2/27/24 14:26,,3371,3106,0.921,0.09,0.044,1561,491,35,,,,,,,,
2/27/24 14:43,,2979,2706,0.908,0,0,475,100,2,,,,,,,,
2/27/24 15:00,ON1,3266,2839,0.869,0.04,0,730,194,7,,,,,,,,
2/27/24 15:17,ON1,2945,2793,0.948,0.1,0.044,795,255,19,,,,,,,,
2/27/24 15:34,ON1,2642,2510,0.95,0,0.044,347,84,0,,,,,,,,
2/27/24 15:51,ON1,2877,2883,1.002,0.13,0.088,820,301,37,,,,,,,,
2/27/24 16:08,ON1,2772,2667,0.962,0.1,0,419,107,0,,,,,,,,
2/27/24 16:25,ON1,2650,2564,0.968,0,0.022,335,69,3,,,,,,,,
2/27/24 16:41,ON1,3303,3107,0.941,0.11,0.066,950,252,14,,,,,,,,
2/27/24 16:58,ON1,2602,2461,0.946,0,0,327,59,0,,,,,,,,
2/27/24 17:15,ON1,3077,2944,0.957,0.12,0.044,602,182,71,,,,,,,,
2/27/24 17:32,ON1,2869,2749,0.958,0.04,0,228,40,0,,,,,,,,
2/27/24 17:49,ON1,3272,3174,0.97,0,0.11,737,199,65,,,,,,,,
2/27/24 18:06,ON1,2637,2589,0.982,0,0,575,41,0,,,,,,,,
2/27/24 18:23,ON1,2613,2544,0.974,0,0,14,2,0,,,,,,,,
2/27/24 18:40,ON1,2536,2412,0.951,0,0,159,21,0,,,,,,,,
2/27/24 18:56,ON1,3225,3039,0.942,0.14,0.066,990,264,73,,,,,,,,
2/27/24 19:13,ON1,2672,2554,0.956,0,0.066,668,32,1,,,,,,,,
2/27/24 19:30,ON1,2741,2524,0.921,0,0,147,12,0,,,,,,,,
2/27/24 19:47,ON1,2403,2290,0.953,0,0,343,52,0,,,,,,,,
2/27/24 20:04,ON1,2304,2230,0.968,0.14,0,481,49,0,,,,,,,,
