===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:13,,1058,980,0.926,0,0,342,195,128,,,,,,,,
2/27/24 12:29,,4148,3865,0.932,0.14,0,3154,1747,1982,,,,,,,,
2/27/24 12:46,,3906,3662,0.938,0.09,0.11,3214,1671,1390,,,,,,,,
2/27/24 13:03,,3741,3581,0.957,0,0.154,2930,1434,1446,,,,,,,,
2/27/24 13:20,,3706,3406,0.919,0,0,2921,1483,1236,,,,,,,,
2/27/24 13:37,,3620,3491,0.964,0.09,0,2539,1182,754,,,,,,,,
2/27/24 13:54,,3479,3287,0.945,0.17,0.176,2084,820,257,,,,,,,,
2/27/24 14:11,,3463,3393,0.98,0.06,0.154,2269,971,580,,,,,,,,
2/27/24 14:28,,3407,3207,0.941,0,0.132,1932,750,507,,,,,,,,
2/27/24 14:44,,2954,2816,0.953,0,0,1700,491,3,,,,,,,,
2/27/24 15:01,ON1,3284,3154,0.96,0.05,0,1529,439,9,,,,,,,,
2/27/24 15:18,ON1,3027,2866,0.947,0.11,0.066,1532,474,24,,,,,,,,
2/27/24 15:35,ON1,3293,3212,0.975,0,0.044,1502,587,85,,,,,,,,
2/27/24 15:52,ON1,3097,2984,0.963,0.12,0,995,311,6,,,,,,,,
2/27/24 16:09,ON1,2808,2671,0.951,0,0,1346,366,0,,,,,,,,
2/27/24 16:26,ON1,2492,2318,0.93,0,0,1258,343,0,,,,,,,,
2/27/24 16:43,ON1,3157,2979,0.943,0.16,0.154,1435,510,77,,,,,,,,
2/27/24 16:59,ON1,2644,2505,0.947,0,0,1412,498,0,,,,,,,,
2/27/24 17:16,ON1,2765,2599,0.94,0,0,1582,594,0,,,,,,,,
2/27/24 17:33,ON1,3200,2968,0.928,0.02,0,1460,450,59,,,,,,,,
2/27/24 17:50,ON1,2598,2398,0.923,0,0,576,126,0,,,,,,,,
2/27/24 18:07,ON1,2720,2396,0.881,0,0,383,60,0,,,,,,,,
2/27/24 18:24,ON1,3095,3047,0.984,0.12,0.132,1255,383,36,,,,,,,,
2/27/24 18:41,ON1,2641,2411,0.913,0,0,1158,280,0,,,,,,,,
2/27/24 18:58,ON1,2997,2802,0.935,0,0.044,1378,420,6,,,,,,,,
2/27/24 19:14,ON1,2787,2649,0.95,0,0,1224,320,0,,,,,,,,
2/27/24 19:31,ON1,2701,2519,0.933,0,0,1370,449,16,,,,,,,,
2/27/24 19:48,ON1,2375,2197,0.925,0,0,1314,446,0,,,,,,,,
