===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:14,,1379,1269,0.92,0,0,422,274,82,,,,,,,,
2/27/24 12:31,,3800,3616,0.952,0,0,2197,1279,702,,,,,,,,
2/27/24 12:47,,3789,3652,0.964,0.1,0,1724,843,421,,,,,,,,
2/27/24 13:04,,3804,3721,0.978,0.03,0.085,2193,1193,785,,,,,,,,
2/27/24 13:21,,3372,3231,0.958,0.12,0.102,1021,511,485,,,,,,,,
2/27/24 13:38,,3473,3365,0.969,0.12,0,881,411,444,,,,,,,,
2/27/24 13:55,,2885,2625,0.91,0,0.102,726,236,518,,,,,,,,
2/27/24 14:12,,3301,3245,0.983,0.12,0,605,226,451,,,,,,,,
2/27/24 14:29,,3226,3132,0.971,0.06,0.034,908,348,330,,,,,,,,
2/27/24 14:46,,2469,2338,0.947,0,0,474,135,266,,,,,,,,
2/27/24 15:02,ON1,2755,2388,0.867,0.08,0.034,406,127,287,,,,,,,,
2/27/24 15:19,ON1,2925,2764,0.945,0.06,0.017,664,253,392,,,,,,,,
2/27/24 15:36,ON1,2555,2465,0.965,0.06,0.017,393,121,299,,,,,,,,
2/27/24 15:53,ON1,2720,2550,0.938,0,0,565,112,337,,,,,,,,
2/27/24 16:10,ON1,3144,3076,0.978,0.13,0.102,928,363,268,,,,,,,,
2/27/24 16:27,ON1,2498,2299,0.92,0,0,410,108,389,,,,,,,,
2/27/24 16:44,ON1,2237,2019,0.902,0,0,238,35,478,,,,,,,,
2/27/24 17:01,ON1,2676,2351,0.878,0.05,0,324,91,433,,,,,,,,
2/27/24 17:17,ON1,2455,2247,0.915,0.06,0,497,174,296,,,,,,,,
2/27/24 17:34,ON1,2349,2165,0.922,0,0,287,42,368,,,,,,,,
2/27/24 17:51,ON1,2406,1983,0.824,0,0,303,41,534,,,,,,,,
2/27/24 18:08,ON1,2408,2251,0.935,0.14,0.102,832,312,196,,,,,,,,
2/27/24 18:25,ON1,2214,2051,0.926,0,0,219,19,336,,,,,,,,
2/27/24 18:42,ON1,2207,1924,0.872,0,0,229,34,271,,,,,,,,
2/27/24 18:59,ON1,2304,2120,0.92,0,0,332,90,386,,,,,,,,
2/27/24 19:16,ON1,2456,2061,0.839,0,0,239,33,378,,,,,,,,
2/27/24 19:32,ON1,2790,2498,0.895,0.14,0.034,615,197,256,,,,,,,,
2/27/24 19:49,ON1,2271,2054,0.905,0,0,282,49,418,,,,,,,,
2/27/24 20:06,ON1,3136,2887,0.921,0.14,0,632,206,394,,,,,,,,
