===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:16,,1809,1426,0.788,0,0,812,451,329,,,,,,,,
2/27/24 12:33,,1731,1090,0.63,0.03,0,2998,1726,1500,,,,,,,,
2/27/24 12:50,,2149,1713,0.797,0.07,0,2201,1138,1373,,,,,,,,
2/27/24 13:07,,1839,2164,1.177,0.13,0,2311,1261,1620,,,,,,,,
2/27/24 13:23,,1234,909,0.736,0,0,1309,558,1248,,,,,,,,
2/27/24 13:40,,1378,910,0.66,0.1,0.06,1749,792,1604,,,,,,,,
2/27/24 13:57,,2054,1812,0.882,0,0.04,1292,476,1193,,,,,,,,
2/27/24 14:14,,820,585,0.713,0.07,0.06,1217,358,1089,,,,,,,,
2/27/24 14:31,,1005,809,0.805,0,0.04,1524,564,1047,,,,,,,,
2/27/24 14:48,,1689,1266,0.749,0.06,0.06,1515,692,1131,,,,,,,,
2/27/24 15:05,ON1,1163,771,0.663,0,0,505,107,1006,,,,,,,,
2/27/24 15:22,ON1,1457,891,0.611,0,0,536,154,993,,,,,,,,
2/27/24 15:38,ON1,1560,920,0.59,0.1,0.12,1595,760,1173,,,,,,,,
2/27/24 15:55,ON1,1336,954,0.714,0,0,378,58,1012,,,,,,,,
2/27/24 16:12,ON1,1250,795,0.636,0,0,262,8,1013,,,,,,,,
2/27/24 16:29,ON1,1201,773,0.644,0.04,0,527,69,1022,,,,,,,,
2/27/24 16:46,ON1,1271,1060,0.835,0.15,0.06,894,306,1119,,,,,,,,
2/27/24 17:03,ON1,1216,775,0.638,0,0,632,164,988,,,,,,,,
2/27/24 17:20,ON1,1124,763,0.679,0,0,339,34,1011,,,,,,,,
2/27/24 17:37,ON1,1169,749,0.641,0,0,281,18,1011,,,,,,,,
2/27/24 17:53,ON1,1330,939,0.706,0.12,0.1,697,253,1014,,,,,,,,
2/27/24 18:10,ON1,1552,1161,0.748,0.05,0.1,1311,536,1066,,,,,,,,
2/27/24 18:27,ON1,1260,971,0.771,0,0,595,170,1008,,,,,,,,
2/27/24 18:44,ON1,1141,714,0.626,0,0,361,41,1015,,,,,,,,
2/27/24 19:01,ON1,1319,867,0.657,0,0,361,53,991,,,,,,,,
2/27/24 19:18,ON1,1145,758,0.662,0.11,0,434,74,1007,,,,,,,,
2/27/24 19:35,ON1,1587,1183,0.746,0.04,0.1,899,340,1036,,,,,,,,
2/27/24 19:52,ON1,1223,872,0.713,0,0,398,52,989,,,,,,,,
