===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:17,,2493,1965,0.788,0.03,0,500,301,443,,,,,,,,
2/27/24 12:34,,4005,3431,0.857,0,0,2305,1223,2124,,,,,,,,
2/27/24 12:51,,3875,3443,0.888,0.05,0,1840,987,2317,,,,,,,,
2/27/24 13:08,,3840,3279,0.854,0.11,0.095,1957,939,2240,,,,,,,,
2/27/24 13:25,,3870,3415,0.882,0.02,0.152,1558,682,2001,,,,,,,,
2/27/24 13:41,,3786,3147,0.831,0,0.133,1494,761,1601,,,,,,,,
2/27/24 13:58,,3295,2882,0.875,0.12,0.038,1357,529,492,,,,,,,,
2/27/24 14:15,,3381,2979,0.881,0.07,0,747,270,218,,,,,,,,
2/27/24 14:32,,3464,3118,0.9,0.16,0.171,603,246,522,,,,,,,,
2/27/24 14:49,,2766,2483,0.897,0.03,0,711,266,378,,,,,,,,
2/27/24 15:06,ON1,2523,2318,0.919,0.05,0.038,196,29,233,,,,,,,,
2/27/24 15:23,ON1,2528,2428,0.96,0.19,0.038,627,204,184,,,,,,,,
2/27/24 15:40,ON1,3238,3072,0.949,0,0.114,621,443,233,,,,,,,,
2/27/24 15:56,ON1,2501,2355,0.941,0.11,0,521,204,251,,,,,,,,
2/27/24 16:13,ON1,2535,2374,0.937,0,0.019,275,55,287,,,,,,,,
2/27/24 16:30,ON1,2273,2156,0.948,0.1,0,193,56,275,,,,,,,,
2/27/24 16:47,ON1,2445,2257,0.923,0,0.057,161,31,218,,,,,,,,
2/27/24 17:04,ON1,2693,2503,0.929,0.18,0.076,435,112,120,,,,,,,,
2/27/24 17:21,ON1,2381,2219,0.932,0,0,808,538,196,,,,,,,,
2/27/24 17:38,ON1,2637,2478,0.94,0,0,326,111,269,,,,,,,,
2/27/24 17:55,ON1,2712,2605,0.961,0.13,0,671,170,358,,,,,,,,
2/27/24 18:11,ON1,2574,2432,0.945,0,0.057,619,423,265,,,,,,,,
2/27/24 18:28,ON1,2859,2807,0.982,0.13,0,385,113,179,,,,,,,,
2/27/24 18:45,ON1,2569,2473,0.963,0,0.057,248,55,251,,,,,,,,
2/27/24 19:02,ON1,2406,2343,0.974,0.13,0,748,368,275,,,,,,,,
2/27/24 19:19,ON1,2440,2418,0.991,0,0.057,659,195,234,,,,,,,,
2/27/24 19:36,ON1,2779,2815,1.013,0.03,0.076,695,174,114,,,,,,,,
2/27/24 19:53,ON1,2153,2081,0.966,0,0,806,240,172,,,,,,,,
