===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:18,,2414,2040,0.845,0,0,747,436,183,,,,,,,,
2/27/24 12:35,,4226,3762,0.89,0,0,3236,1620,1017,,,,,,,,
2/27/24 12:52,,3732,3482,0.933,0.12,0.056,2630,1337,858,,,,,,,,
2/27/24 13:09,,3606,3305,0.917,0.05,0.098,1817,780,264,,,,,,,,
2/27/24 13:26,,3542,3395,0.958,0,0.014,1563,625,154,,,,,,,,
2/27/24 13:43,,3483,3318,0.953,0.12,0.014,1126,464,154,,,,,,,,
2/27/24 13:59,,3186,2856,0.896,0,0,833,282,7,,,,,,,,
2/27/24 14:16,,3443,3329,0.967,0.13,0.098,702,223,48,,,,,,,,
2/27/24 14:33,,3187,3088,0.969,0.03,0.014,613,193,52,,,,,,,,
2/27/24 14:50,,2904,2720,0.937,0.03,0,462,118,2,,,,,,,,
2/27/24 15:07,ON1,2681,2576,0.961,0.15,0.084,454,107,11,,,,,,,,
2/27/24 15:24,ON1,2910,2878,0.989,0.06,0,572,205,21,,,,,,,,
2/27/24 15:41,ON1,2634,2665,1.012,0,0,268,85,4,,,,,,,,
2/27/24 15:58,ON1,2917,2711,0.929,0,0.042,333,85,0,,,,,,,,
2/27/24 16:14,ON1,2854,2727,0.956,0.12,0,895,207,12,,,,,,,,
2/27/24 16:31,ON1,2594,2509,0.967,0,0,291,62,0,,,,,,,,
2/27/24 16:48,ON1,2574,2405,0.934,0,0,368,55,0,,,,,,,,
2/27/24 17:05,ON1,3201,3061,0.956,0.13,0.056,1033,358,27,,,,,,,,
2/27/24 17:22,ON1,2440,2346,0.962,0,0.042,336,92,0,,,,,,,,
2/27/24 17:39,ON1,2659,2521,0.948,0,0,242,37,0,,,,,,,,
2/27/24 17:56,ON1,2625,2526,0.962,0.15,0,579,177,0,,,,,,,,
2/27/24 18:13,ON1,2636,2507,0.951,0,0,265,24,0,,,,,,,,
2/27/24 18:29,ON1,2907,2809,0.966,0.12,0,468,123,0,,,,,,,,
2/27/24 18:46,ON1,2681,2491,0.929,0,0.098,248,49,0,,,,,,,,
2/27/24 19:03,ON1,2542,2489,0.979,0,0.014,393,94,0,,,,,,,,
2/27/24 19:20,ON1,2539,2502,0.985,0,0,251,61,2,,,,,,,,
2/27/24 19:37,ON1,2861,2862,1,0,0,718,171,7,,,,,,,,
2/27/24 19:54,ON1,2504,2373,0.948,0,0,232,38,0,,,,,,,,
2/27/24 20:11,ON1,3277,3169,0.967,0,0.014,701,256,24,,,,,,,,
