===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:27,,3858,3506,0.909,0.05,0,1300,792,327,,,,,,,,
2/27/24 12:44,,3986,3655,0.917,0,0,2144,1149,1104,,,,,,,,
2/27/24 13:01,,3771,3457,0.917,0,0.021,2040,1026,897,,,,,,,,
2/27/24 13:18,,3572,3340,0.935,0.1,0.021,2065,993,832,,,,,,,,
2/27/24 13:35,,3463,3281,0.947,0.03,0.105,1139,379,179,,,,,,,,
2/27/24 13:52,,3173,2971,0.936,0.07,0.021,1223,413,316,,,,,,,,
2/27/24 14:08,,3473,2974,0.856,0.03,0,666,147,18,,,,,,,,
2/27/24 14:25,,2684,2134,0.795,0,0,241,31,0,,,,,,,,
2/27/24 14:42,,3147,2592,0.824,0.02,0,264,68,8,,,,,,,,
2/27/24 14:59,,3327,3041,0.914,0.09,0.126,881,296,86,,,,,,,,
2/27/24 15:16,ON1,2537,2315,0.912,0,0,248,79,0,,,,,,,,
2/27/24 15:33,ON1,2439,2115,0.867,0,0,23,3,0,,,,,,,,
2/27/24 15:50,ON1,3598,3149,0.875,0.16,0,485,170,54,,,,,,,,
2/27/24 16:07,ON1,3217,2986,0.928,0,0.084,617,191,111,,,,,,,,
2/27/24 16:23,ON1,2381,2113,0.887,0,0,86,16,0,,,,,,,,
2/27/24 16:40,ON1,3367,3053,0.907,0.13,0.084,758,257,60,,,,,,,,
2/27/24 16:57,ON1,2571,2337,0.909,0,0,412,16,0,,,,,,,,
2/27/24 17:14,ON1,2381,2114,0.888,0,0,173,7,0,,,,,,,,
2/27/24 17:31,ON1,3235,3054,0.944,0.12,0.021,662,230,59,,,,,,,,
2/27/24 17:48,ON1,2606,2302,0.883,0,0,17,0,0,,,,,,,,
2/27/24 18:05,ON1,2536,2169,0.855,0,0,27,8,0,,,,,,,,
2/27/24 18:22,ON1,3038,2697,0.888,0.04,0,481,97,0,,,,,,,,
2/27/24 18:38,ON1,2728,2443,0.896,0,0.021,176,25,0,,,,,,,,
2/27/24 18:55,ON1,2534,2196,0.867,0,0,79,6,0,,,,,,,,
2/27/24 19:12,ON1,2576,2186,0.848,0,0,127,4,0,,,,,,,,
2/27/24 19:29,ON1,2688,2224,0.827,0,0,392,67,0,,,,,,,,
2/27/24 19:46,ON1,3048,2808,0.921,0.12,0.042,1232,336,118,,,,,,,,
2/27/24 20:03,ON1,2543,2231,0.877,0,0,20,6,0,,,,,,,,
2/27/24 20:20,ON1,2422,2057,0.849,0,0,56,15,0,,,,,,,,
