===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
DATE/TIME,LIGHTING,VO2,VCO2,RER,FEED1,DRINK1,XTOT,XAMB,ZTOT,,,,,,,,
,,ml/kg/hr,ml/kg/hr,,GRAMS,ml,COUNTS,COUNTS,COUNTS,,,,,,,,
===============,,===============,===============,===============,===============,===============,===============,===============,===============,,,,,,,,
2/27/24 12:25,,4161,3746,0.9,0,0,872,513,427,,,,,,,,
2/27/24 12:42,,4203,3932,0.935,0,0,1732,854,1378,,,,,,,,
2/27/24 12:59,,3839,3703,0.964,0,0,1647,828,1292,,,,,,,,
2/27/24 13:16,,3913,3701,0.946,0,0,1492,859,931,,,,,,,,
2/27/24 13:32,,3910,3600,0.921,0,0,1509,783,834,,,,,,,,
2/27/24 13:49,,3359,3376,1.005,0,0,765,373,451,,,,,,,,
2/27/24 14:06,,3600,3347,0.93,0,0.063,1110,426,300,,,,,,,,
2/27/24 14:23,,3515,3341,0.951,0,0.042,1113,460,274,,,,,,,,
2/27/24 14:40,,3195,2858,0.895,0,0,707,315,18,,,,,,,,
2/27/24 14:57,,3642,3426,0.941,0.12,0,685,346,281,,,,,,,,
2/27/24 15:14,ON1,3414,3164,0.927,0,0.063,1975,1015,398,,,,,,,,
2/27/24 15:31,ON1,3836,3503,0.913,0,0.042,1420,240,228,,,,,,,,
2/27/24 15:47,ON1,3316,3202,0.966,0,0.042,639,261,246,,,,,,,,
2/27/24 16:04,ON1,2936,2762,0.941,0.06,0,774,97,15,,,,,,,,
2/27/24 16:21,ON1,2695,2407,0.893,0.08,0,259,48,0,,,,,,,,
2/27/24 16:38,ON1,3459,3155,0.912,0.03,0,725,298,51,,,,,,,,
2/27/24 16:55,ON1,3325,3126,0.94,0,0.084,601,231,376,,,,,,,,
2/27/24 17:12,ON1,2726,2511,0.921,0,0,361,61,0,,,,,,,,
2/27/24 17:29,ON1,3214,2875,0.895,0.06,0,710,256,36,,,,,,,,
2/27/24 17:46,ON1,2666,2416,0.906,0,0.084,591,217,15,,,,,,,,
2/27/24 18:02,ON1,3254,3011,0.925,0.05,0,358,130,42,,,,,,,,
2/27/24 18:19,ON1,3387,3111,0.919,0,0,1356,420,313,,,,,,,,
2/27/24 18:36,ON1,2644,2370,0.897,0,0,1941,2,0,,,,,,,,
2/27/24 18:53,ON1,2627,2320,0.883,0.03,0,1926,1,0,,,,,,,,
2/27/24 19:10,ON1,2611,2323,0.89,0.05,0,718,44,0,,,,,,,,
2/27/24 19:27,ON1,3032,2683,0.885,0.03,0,378,196,44,,,,,,,,
2/27/24 19:44,ON1,3481,3235,0.929,0,0,346,155,0,,,,,,,,
2/27/24 20:01,ON1,2527,2196,0.869,0.11,0,623,22,0,,,,,,,,
2/27/24 20:17,ON1,2584,2251,0.871,0.18,0,921,13,0,,,,,,,,
